post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks
това е истинска трагедия: хиляди бебета и деца са починали през xx век в домове за самотни майки в ирландия. те са жертви на сбърканото отношение в католическа ирландия към неомъжените майки и техните деца.,14-01-21 12:08,19,25,19,dnevnik,0,деца.,True,35,4.914285714,1,"['това', 'е', 'истинска', 'трагедия', ':', 'хиляди', 'бебета', 'и', 'деца', 'са', 'починали', 'през', 'xx', 'век', 'в', 'домове', 'за', 'самотни', 'майки', 'в', 'ирландия', '.', 'те', 'са', 'жертви', 'на', 'сбърканото', 'отношение', 'в', 'католическа', 'ирландия', 'към', 'неомъжените', 'майки', 'и', 'техните', 'деца', '.']","['това', 'е', 'истинска', 'трагедия', 'хиляди', 'бебета', 'и', 'деца', 'са', 'починали', 'през', 'xx', 'век', 'в', 'домове', 'за', 'самотни', 'майки', 'в', 'ирландия', 'те', 'са', 'жертви', 'на', 'сбърканото', 'отношение', 'в', 'католическа', 'ирландия', 'към', 'неомъжените', 'майки', 'и', 'техните', 'деца']",15,3,0
"президентството на тръмп свърши. но национал-популизмът, не само в америка, не е свършил. остават тези тълпи от хора, които са разгневени и разочаровани от статуквото, и не вярват в демокрацията.",14-01-21 11:50,14,0,9,dnevnik,0,демокрацията.,True,30,5.533333333,0,"['президентството', 'на', 'тръмп', 'свърши', '.', 'но', 'национал-популизмът', ',', 'не', 'само', 'в', 'америка', ',', 'не', 'е', 'свършил', '.', 'остават', 'тези', 'тълпи', 'от', 'хора', ',', 'които', 'са', 'разгневени', 'и', 'разочаровани', 'от', 'статуквото', ',', 'и', 'не', 'вярват', 'в', 'демокрацията', '.']","['президентството', 'на', 'тръмп', 'свърши', 'но', 'националпопулизмът', 'не', 'само', 'в', 'америка', 'не', 'е', 'свършил', 'остават', 'тези', 'тълпи', 'от', 'хора', 'които', 'са', 'разгневени', 'и', 'разочаровани', 'от', 'статуквото', 'и', 'не', 'вярват', 'в', 'демокрацията']",16,8,0
"шефът на ""туитър"" джак дорси защити наложеното от компанията му блокиране на профила в социалната мрежа на президента на сащ доналд тръмп.",14-01-21 11:42,7,0,6,dnevnik,0,тръмп.,True,22,5.318181818,0,"['шефът', 'на', '``', 'туитър', ""''"", 'джак', 'дорси', 'защити', 'наложеното', 'от', 'компанията', 'му', 'блокиране', 'на', 'профила', 'в', 'социалната', 'мрежа', 'на', 'президента', 'на', 'сащ', 'доналд', 'тръмп', '.']","['шефът', 'на', '', 'туитър', '', 'джак', 'дорси', 'защити', 'наложеното', 'от', 'компанията', 'му', 'блокиране', 'на', 'профила', 'в', 'социалната', 'мрежа', 'на', 'президента', 'на', 'сащ', 'доналд', 'тръмп']",7,3,0
"информацията се съдържа в отговор до георги георгиев, председател на гражданско сдружение ""боец"", след питане по закона за достъп до обществена информация (здои).",14-01-21 11:14,11,0,10,dnevnik,0,(здои).,True,23,6.086956522,0,"['информацията', 'се', 'съдържа', 'в', 'отговор', 'до', 'георги', 'георгиев', ',', 'председател', 'на', 'гражданско', 'сдружение', '``', 'боец', ""''"", ',', 'след', 'питане', 'по', 'закона', 'за', 'достъп', 'до', 'обществена', 'информация', '(', 'здои', ')', '.']","['информацията', 'се', 'съдържа', 'в', 'отговор', 'до', 'георги', 'георгиев', 'председател', 'на', 'гражданско', 'сдружение', '', 'боец', '', 'след', 'питане', 'по', 'закона', 'за', 'достъп', 'до', 'обществена', 'информация', '', 'здои', '']",8,5,0
"""това е стъпка напред, но не панацея"", каза директорът на планинската спасителна служба при бчк емил нешев.",14-01-21 10:52,11,2,1,dnevnik,0,нешев.,True,17,5.352941176,0,"['``', 'това', 'е', 'стъпка', 'напред', ',', 'но', 'не', 'панацея', ""''"", ',', 'каза', 'директорът', 'на', 'планинската', 'спасителна', 'служба', 'при', 'бчк', 'емил', 'нешев', '.']","['', 'това', 'е', 'стъпка', 'напред', 'но', 'не', 'панацея', '', 'каза', 'директорът', 'на', 'планинската', 'спасителна', 'служба', 'при', 'бчк', 'емил', 'нешев']",8,5,0
"""дневник"" събра в едно кратко видео най-важната информация за двата продукта, с които се извършва в момента ваксинирането срещу covid-19 в българия.",14-01-21 10:48,3,0,2,dnevnik,0,българия.,True,22,5.772727272999999,0,"['``', 'дневник', ""''"", 'събра', 'в', 'едно', 'кратко', 'видео', 'най-важната', 'информация', 'за', 'двата', 'продукта', ',', 'с', 'които', 'се', 'извършва', 'в', 'момента', 'ваксинирането', 'срещу', 'covid-19', 'в', 'българия', '.']","['', 'дневник', '', 'събра', 'в', 'едно', 'кратко', 'видео', 'найважната', 'информация', 'за', 'двата', 'продукта', 'с', 'които', 'се', 'извършва', 'в', 'момента', 'ваксинирането', 'срещу', 'covid19', 'в', 'българия']",10,6,0
"в петък ще бъде издадена заповед, в която ще се разреши плановият прием и операциите в болниците.",14-01-21 10:31,5,0,0,dnevnik,0,болниците.,True,17,4.7647058819999994,0,"['в', 'петък', 'ще', 'бъде', 'издадена', 'заповед', ',', 'в', 'която', 'ще', 'се', 'разреши', 'плановият', 'прием', 'и', 'операциите', 'в', 'болниците', '.']","['в', 'петък', 'ще', 'бъде', 'издадена', 'заповед', 'в', 'която', 'ще', 'се', 'разреши', 'плановият', 'прием', 'и', 'операциите', 'в', 'болниците']",9,2,0
"през 2021 г. в обединеното кралство се очаква да започне дългоочакваната законодателна реформа на независимия финансов одит, която беше забавена от брекзит и ковид-19. този процес ще окаже влияние на бъдещето на одита в ес.",14-01-21 10:06,1,0,0,dnevnik,0,ес.,True,35,5.4,0,"['през', '2021', 'г.', 'в', 'обединеното', 'кралство', 'се', 'очаква', 'да', 'започне', 'дългоочакваната', 'законодателна', 'реформа', 'на', 'независимия', 'финансов', 'одит', ',', 'която', 'беше', 'забавена', 'от', 'брекзит', 'и', 'ковид-19', '.', 'този', 'процес', 'ще', 'окаже', 'влияние', 'на', 'бъдещето', 'на', 'одита', 'в', 'ес', '.']","['през', '2021', 'г', 'в', 'обединеното', 'кралство', 'се', 'очаква', 'да', 'започне', 'дългоочакваната', 'законодателна', 'реформа', 'на', 'независимия', 'финансов', 'одит', 'която', 'беше', 'забавена', 'от', 'брекзит', 'и', 'ковид19', 'този', 'процес', 'ще', 'окаже', 'влияние', 'на', 'бъдещето', 'на', 'одита', 'в', 'ес']",15,5,0
общият брой на всички доказани случаи на covid-19 при деца в българия е 5506. пет деца са починали от началото на пандемията до 7 януари 2021 г.,14-01-21 10:05,2,0,1,dnevnik,0,г.,True,27,4.37037037,0,"['общият', 'брой', 'на', 'всички', 'доказани', 'случаи', 'на', 'covid-19', 'при', 'деца', 'в', 'българия', 'е', '5506.', 'пет', 'деца', 'са', 'починали', 'от', 'началото', 'на', 'пандемията', 'до', '7', 'януари', '2021', 'г', '.']","['общият', 'брой', 'на', 'всички', 'доказани', 'случаи', 'на', 'covid19', 'при', 'деца', 'в', 'българия', 'е', '5506', 'пет', 'деца', 'са', 'починали', 'от', 'началото', 'на', 'пандемията', 'до', '7', 'януари', '2021', 'г']",11,3,0
"часове след като доналд тръмп стана вторият американски президент, подложен два пъти на импийчмънт, демократите в сената допуснаха възможност да му бъде забранено да се кандидатира за публични длъжности, ако бъде осъден.",14-01-21 10:01,72,7,18,dnevnik,0,осъден.,True,32,5.90625,0,"['часове', 'след', 'като', 'доналд', 'тръмп', 'стана', 'вторият', 'американски', 'президент', ',', 'подложен', 'два', 'пъти', 'на', 'импийчмънт', ',', 'демократите', 'в', 'сената', 'допуснаха', 'възможност', 'да', 'му', 'бъде', 'забранено', 'да', 'се', 'кандидатира', 'за', 'публични', 'длъжности', ',', 'ако', 'бъде', 'осъден', '.']","['часове', 'след', 'като', 'доналд', 'тръмп', 'стана', 'вторият', 'американски', 'президент', 'подложен', 'два', 'пъти', 'на', 'импийчмънт', 'демократите', 'в', 'сената', 'допуснаха', 'възможност', 'да', 'му', 'бъде', 'забранено', 'да', 'се', 'кандидатира', 'за', 'публични', 'длъжности', 'ако', 'бъде', 'осъден']",14,4,0
на живо: какво е разпространението на covid-19 в българия и ще има ли промени в противоепидемичните мерки,14-01-21 10:01,19,6,37,dnevnik,0,мерки,True,17,5.2352941180000006,0,"['на', 'живо', ':', 'какво', 'е', 'разпространението', 'на', 'covid-19', 'в', 'българия', 'и', 'ще', 'има', 'ли', 'промени', 'в', 'противоепидемичните', 'мерки']","['на', 'живо', 'какво', 'е', 'разпространението', 'на', 'covid19', 'в', 'българия', 'и', 'ще', 'има', 'ли', 'промени', 'в', 'противоепидемичните', 'мерки']",10,2,0
"""мрежите"" събират хардън с кевин дюрант и кайри ървинг в суперотбор.",14-01-21 10:00,0,0,0,dnevnik,0,суперотбор.,True,11,5.272727273,0,"['``', 'мрежите', ""''"", 'събират', 'хардън', 'с', 'кевин', 'дюрант', 'и', 'кайри', 'ървинг', 'в', 'суперотбор', '.']","['', 'мрежите', '', 'събират', 'хардън', 'с', 'кевин', 'дюрант', 'и', 'кайри', 'ървинг', 'в', 'суперотбор']",3,3,0
"музиката на уайн (поп и реге), печелил награда и от ем ти ви, е известна в цяла източна африка, това не изчерпва популярността му.",14-01-21 9:31,7,0,0,dnevnik,0,му.,True,24,4.458333333,0,"['музиката', 'на', 'уайн', '(', 'поп', 'и', 'реге', ')', ',', 'печелил', 'награда', 'и', 'от', 'ем', 'ти', 'ви', ',', 'е', 'известна', 'в', 'цяла', 'източна', 'африка', ',', 'това', 'не', 'изчерпва', 'популярността', 'му', '.']","['музиката', 'на', 'уайн', '', 'поп', 'и', 'реге', '', 'печелил', 'награда', 'и', 'от', 'ем', 'ти', 'ви', 'е', 'известна', 'в', 'цяла', 'източна', 'африка', 'това', 'не', 'изчерпва', 'популярността', 'му']",11,4,0
в последните 10 години хората са се променили и вече много по-лесно се евакуират при подобни бедствия. преди масово отказвали от страх някой да не им влезе в домовете.,14-01-21 9:08,1,0,0,dnevnik,0,домовете.,True,29,4.793103448,0,"['в', 'последните', '10', 'години', 'хората', 'са', 'се', 'променили', 'и', 'вече', 'много', 'по-лесно', 'се', 'евакуират', 'при', 'подобни', 'бедствия', '.', 'преди', 'масово', 'отказвали', 'от', 'страх', 'някой', 'да', 'не', 'им', 'влезе', 'в', 'домовете', '.']","['в', 'последните', '10', 'години', 'хората', 'са', 'се', 'променили', 'и', 'вече', 'много', 'полесно', 'се', 'евакуират', 'при', 'подобни', 'бедствия', 'преди', 'масово', 'отказвали', 'от', 'страх', 'някой', 'да', 'не', 'им', 'влезе', 'в', 'домовете']",16,3,0
предстоящото оттегляне на германския канцлер след 16 години работа доведе до надпревара кой ще оглави нейния християндемократичен съюз (хдс) и ще го поведе на изборите догодина.,14-01-21 8:54,3,0,0,dnevnik,0,догодина.,True,26,5.846153846,0,"['предстоящото', 'оттегляне', 'на', 'германския', 'канцлер', 'след', '16', 'години', 'работа', 'доведе', 'до', 'надпревара', 'кой', 'ще', 'оглави', 'нейния', 'християндемократичен', 'съюз', '(', 'хдс', ')', 'и', 'ще', 'го', 'поведе', 'на', 'изборите', 'догодина', '.']","['предстоящото', 'оттегляне', 'на', 'германския', 'канцлер', 'след', '16', 'години', 'работа', 'доведе', 'до', 'надпревара', 'кой', 'ще', 'оглави', 'нейния', 'християндемократичен', 'съюз', '', 'хдс', '', 'и', 'ще', 'го', 'поведе', 'на', 'изборите', 'догодина']",10,1,0
"така изглежда развитието на проекта за славеевата къща, която се намира в района на ""руски паметник"" и през последните шест години има два опита за издигане на висока сграда над нея.",14-01-21 7:56,24,20,7,dnevnik,0,нея.,True,31,4.903225806,0,"['така', 'изглежда', 'развитието', 'на', 'проекта', 'за', 'славеевата', 'къща', ',', 'която', 'се', 'намира', 'в', 'района', 'на', '``', 'руски', 'паметник', ""''"", 'и', 'през', 'последните', 'шест', 'години', 'има', 'два', 'опита', 'за', 'издигане', 'на', 'висока', 'сграда', 'над', 'нея', '.']","['така', 'изглежда', 'развитието', 'на', 'проекта', 'за', 'славеевата', 'къща', 'която', 'се', 'намира', 'в', 'района', 'на', '', 'руски', 'паметник', '', 'и', 'през', 'последните', 'шест', 'години', 'има', 'два', 'опита', 'за', 'издигане', 'на', 'висока', 'сграда', 'над', 'нея']",16,4,0
официалната статистика за ситуацията около разпространението на заразата в българия в последното денонощие.,14-01-21 7:48,5,0,2,dnevnik,0,денонощие.,True,13,7.307692307999999,0,"['официалната', 'статистика', 'за', 'ситуацията', 'около', 'разпространението', 'на', 'заразата', 'в', 'българия', 'в', 'последното', 'денонощие', '.']","['официалната', 'статистика', 'за', 'ситуацията', 'около', 'разпространението', 'на', 'заразата', 'в', 'българия', 'в', 'последното', 'денонощие']",5,1,0
сензация в германия.,14-01-21 0:29,4,0,1,dnevnik,0,германия.,True,3,6.0,1,"['сензация', 'в', 'германия', '.']","['сензация', 'в', 'германия']",1,1,0
"камарата на представителите на сащ одобри втория импийчмънт на президента доналд тръмп, обвинявайки го в подбуждане на насилие заради щурма на капитолия миналата седмица.",13-01-21 23:29,54,2,13,dnevnik,0,седмица.,True,24,6.125,0,"['камарата', 'на', 'представителите', 'на', 'сащ', 'одобри', 'втория', 'импийчмънт', 'на', 'президента', 'доналд', 'тръмп', ',', 'обвинявайки', 'го', 'в', 'подбуждане', 'на', 'насилие', 'заради', 'щурма', 'на', 'капитолия', 'миналата', 'седмица', '.']","['камарата', 'на', 'представителите', 'на', 'сащ', 'одобри', 'втория', 'импийчмънт', 'на', 'президента', 'доналд', 'тръмп', 'обвинявайки', 'го', 'в', 'подбуждане', 'на', 'насилие', 'заради', 'щурма', 'на', 'капитолия', 'миналата', 'седмица']",8,2,0
оферти от строители се приемат до 14 април. очаква се станциите да са готови до 2024 г.,13-01-21 22:27,11,0,1,dnevnik,0,г.,True,17,4.176470588,0,"['оферти', 'от', 'строители', 'се', 'приемат', 'до', '14', 'април', '.', 'очаква', 'се', 'станциите', 'да', 'са', 'готови', 'до', '2024', 'г', '.']","['оферти', 'от', 'строители', 'се', 'приемат', 'до', '14', 'април', 'очаква', 'се', 'станциите', 'да', 'са', 'готови', 'до', '2024', 'г']",8,2,0
"доналд тръмп заяви, че няма да присъства на встъпването в длъжност на джо байдън. това не е прецедент - на три пъти предишни президенти са отказвали да бъдат до наследника си.",13-01-21 21:04,7,2,2,dnevnik,0,си.,True,31,4.677419355,0,"['доналд', 'тръмп', 'заяви', ',', 'че', 'няма', 'да', 'присъства', 'на', 'встъпването', 'в', 'длъжност', 'на', 'джо', 'байдън', '.', 'това', 'не', 'е', 'прецедент', '-', 'на', 'три', 'пъти', 'предишни', 'президенти', 'са', 'отказвали', 'да', 'бъдат', 'до', 'наследника', 'си', '.']","['доналд', 'тръмп', 'заяви', 'че', 'няма', 'да', 'присъства', 'на', 'встъпването', 'в', 'длъжност', 'на', 'джо', 'байдън', 'това', 'не', 'е', 'прецедент', 'на', 'три', 'пъти', 'предишни', 'президенти', 'са', 'отказвали', 'да', 'бъдат', 'до', 'наследника', 'си']",17,4,0
"въображението на читателя често се оказва бедно, за да разтълкува действията и посланията на хората, разполагащи с власт.",13-01-21 20:27,55,21,26,dnevnik,0,власт.,True,18,5.777777778,0,"['въображението', 'на', 'читателя', 'често', 'се', 'оказва', 'бедно', ',', 'за', 'да', 'разтълкува', 'действията', 'и', 'посланията', 'на', 'хората', ',', 'разполагащи', 'с', 'власт', '.']","['въображението', 'на', 'читателя', 'често', 'се', 'оказва', 'бедно', 'за', 'да', 'разтълкува', 'действията', 'и', 'посланията', 'на', 'хората', 'разполагащи', 'с', 'власт']",8,3,0
"жорже мендеш подписа договор да представлява двамата най-добри португалски колоездачи, а това доведе до много реакции.",13-01-21 20:08,1,0,0,dnevnik,0,реакции.,True,16,6.4375,0,"['жорже', 'мендеш', 'подписа', 'договор', 'да', 'представлява', 'двамата', 'най-добри', 'португалски', 'колоездачи', ',', 'а', 'това', 'доведе', 'до', 'много', 'реакции', '.']","['жорже', 'мендеш', 'подписа', 'договор', 'да', 'представлява', 'двамата', 'найдобри', 'португалски', 'колоездачи', 'а', 'това', 'доведе', 'до', 'много', 'реакции']",6,3,0
"може да изглежда несравнимо с пика на мигрантската криза преди половин десетилетие, но за затънала в бюрокрация, разделение и неефективно управление е проблем: в босна и херцеговина грижата за 8000 души е тежко изпитание.",13-01-21 19:50,1,0,2,dnevnik,0,изпитание.,True,34,5.529411765,0,"['може', 'да', 'изглежда', 'несравнимо', 'с', 'пика', 'на', 'мигрантската', 'криза', 'преди', 'половин', 'десетилетие', ',', 'но', 'за', 'затънала', 'в', 'бюрокрация', ',', 'разделение', 'и', 'неефективно', 'управление', 'е', 'проблем', ':', 'в', 'босна', 'и', 'херцеговина', 'грижата', 'за', '8000', 'души', 'е', 'тежко', 'изпитание', '.']","['може', 'да', 'изглежда', 'несравнимо', 'с', 'пика', 'на', 'мигрантската', 'криза', 'преди', 'половин', 'десетилетие', 'но', 'за', 'затънала', 'в', 'бюрокрация', 'разделение', 'и', 'неефективно', 'управление', 'е', 'проблем', 'в', 'босна', 'и', 'херцеговина', 'грижата', 'за', '8000', 'души', 'е', 'тежко', 'изпитание']",14,4,0
"кметът уточни, че планира да отправи искане към федералното правителство да обяви столицата за зона на катастрофално бедствие вследствие на лошото време.",13-01-21 18:54,3,0,0,dnevnik,0,време.,True,22,6.0,0,"['кметът', 'уточни', ',', 'че', 'планира', 'да', 'отправи', 'искане', 'към', 'федералното', 'правителство', 'да', 'обяви', 'столицата', 'за', 'зона', 'на', 'катастрофално', 'бедствие', 'вследствие', 'на', 'лошото', 'време', '.']","['кметът', 'уточни', 'че', 'планира', 'да', 'отправи', 'искане', 'към', 'федералното', 'правителство', 'да', 'обяви', 'столицата', 'за', 'зона', 'на', 'катастрофално', 'бедствие', 'вследствие', 'на', 'лошото', 'време']",8,2,0
"днес е защитен свидетел, помогнал да бъдат осъдени стотици членове на престъпния клан.",13-01-21 18:25,16,4,0,dnevnik,0,клан.,True,13,5.692307692000001,0,"['днес', 'е', 'защитен', 'свидетел', ',', 'помогнал', 'да', 'бъдат', 'осъдени', 'стотици', 'членове', 'на', 'престъпния', 'клан', '.']","['днес', 'е', 'защитен', 'свидетел', 'помогнал', 'да', 'бъдат', 'осъдени', 'стотици', 'членове', 'на', 'престъпния', 'клан']",5,2,0
"министърът на здравеопазването смята, че алгоритъмът сега е достатъчно ясен.",13-01-21 18:20,0,0,2,dnevnik,0,ясен.,True,10,6.7,0,"['министърът', 'на', 'здравеопазването', 'смята', ',', 'че', 'алгоритъмът', 'сега', 'е', 'достатъчно', 'ясен', '.']","['министърът', 'на', 'здравеопазването', 'смята', 'че', 'алгоритъмът', 'сега', 'е', 'достатъчно', 'ясен']",4,2,0
"коридорите и централното пространство под купола на капитолия - сградата на американския парламент, се изпълниха със стотици военни от националната гвардия на сащ. това стана, докато в камарата на представителите се водят дебати за безпрецедентният в историята втори импийчмънт на президент.",13-01-21 17:44,98,57,57,dnevnik,0,президент.,True,41,6.12195122,0,"['коридорите', 'и', 'централното', 'пространство', 'под', 'купола', 'на', 'капитолия', '-', 'сградата', 'на', 'американския', 'парламент', ',', 'се', 'изпълниха', 'със', 'стотици', 'военни', 'от', 'националната', 'гвардия', 'на', 'сащ', '.', 'това', 'стана', ',', 'докато', 'в', 'камарата', 'на', 'представителите', 'се', 'водят', 'дебати', 'за', 'безпрецедентният', 'в', 'историята', 'втори', 'импийчмънт', 'на', 'президент', '.']","['коридорите', 'и', 'централното', 'пространство', 'под', 'купола', 'на', 'капитолия', 'сградата', 'на', 'американския', 'парламент', 'се', 'изпълниха', 'със', 'стотици', 'военни', 'от', 'националната', 'гвардия', 'на', 'сащ', 'това', 'стана', 'докато', 'в', 'камарата', 'на', 'представителите', 'се', 'водят', 'дебати', 'за', 'безпрецедентният', 'в', 'историята', 'втори', 'импийчмънт', 'на', 'президент']",16,5,0
"сечкова е бивша водеща, приятелка на близкия до премиера александър сталийски.",13-01-21 17:14,63,49,81,dnevnik,0,сталийски.,True,11,6.181818182000001,0,"['сечкова', 'е', 'бивша', 'водеща', ',', 'приятелка', 'на', 'близкия', 'до', 'премиера', 'александър', 'сталийски', '.']","['сечкова', 'е', 'бивша', 'водеща', 'приятелка', 'на', 'близкия', 'до', 'премиера', 'александър', 'сталийски']",4,2,0
"столичните адвокати заплашват с ефективен протест, ако до 22 януари управляващите не увеличат нормативно признатите им разходи от 25% на 40% – като на останалите свободни професии.",13-01-21 17:10,9,3,2,dnevnik,0,професии.,True,27,5.703703704,0,"['столичните', 'адвокати', 'заплашват', 'с', 'ефективен', 'протест', ',', 'ако', 'до', '22', 'януари', 'управляващите', 'не', 'увеличат', 'нормативно', 'признатите', 'им', 'разходи', 'от', '25', '%', 'на', '40', '%', '–', 'като', 'на', 'останалите', 'свободни', 'професии', '.']","['столичните', 'адвокати', 'заплашват', 'с', 'ефективен', 'протест', 'ако', 'до', '22', 'януари', 'управляващите', 'не', 'увеличат', 'нормативно', 'признатите', 'им', 'разходи', 'от', '25', '', 'на', '40', '', '', 'като', 'на', 'останалите', 'свободни', 'професии']",9,2,0
"червените завършиха при нулево равенство със ""стал"" (мелец) в приятелска среща.",13-01-21 17:07,0,0,0,dnevnik,0,среща.,True,11,6.272727272999999,0,"['червените', 'завършиха', 'при', 'нулево', 'равенство', 'със', '``', 'стал', ""''"", '(', 'мелец', ')', 'в', 'приятелска', 'среща', '.']","['червените', 'завършиха', 'при', 'нулево', 'равенство', 'със', '', 'стал', '', '', 'мелец', '', 'в', 'приятелска', 'среща']",3,3,0
"полиция и жандармерия бяха изпратени да охраняват имота на обвинения за смъртта на 8-годишно дете, което бе открито миналата седмица в мездра.",13-01-21 16:34,1,3,0,dnevnik,0,мездра.,True,22,5.5,0,"['полиция', 'и', 'жандармерия', 'бяха', 'изпратени', 'да', 'охраняват', 'имота', 'на', 'обвинения', 'за', 'смъртта', 'на', '8-годишно', 'дете', ',', 'което', 'бе', 'открито', 'миналата', 'седмица', 'в', 'мездра', '.']","['полиция', 'и', 'жандармерия', 'бяха', 'изпратени', 'да', 'охраняват', 'имота', 'на', 'обвинения', 'за', 'смъртта', 'на', '8годишно', 'дете', 'което', 'бе', 'открито', 'миналата', 'седмица', 'в', 'мездра']",9,3,0
"на клубовете се напомня кога трябва да спазват дистанция и какво да правят за подобряване на хигиената, а новото правило е за постоянно използване на маска.",13-01-21 16:16,0,0,0,dnevnik,0,маска.,True,26,5.038461538,0,"['на', 'клубовете', 'се', 'напомня', 'кога', 'трябва', 'да', 'спазват', 'дистанция', 'и', 'какво', 'да', 'правят', 'за', 'подобряване', 'на', 'хигиената', ',', 'а', 'новото', 'правило', 'е', 'за', 'постоянно', 'използване', 'на', 'маска', '.']","['на', 'клубовете', 'се', 'напомня', 'кога', 'трябва', 'да', 'спазват', 'дистанция', 'и', 'какво', 'да', 'правят', 'за', 'подобряване', 'на', 'хигиената', 'а', 'новото', 'правило', 'е', 'за', 'постоянно', 'използване', 'на', 'маска']",14,2,0
"историк по образование и с опит в сферата на сигурността - това е новият британски посланик в софия роб диксън. във втората част на интервюто за ""дневник"" дипломатът говори за бъдещите отношения между лондон и софия и за това какво да очакват българите, живеещи на острова.",13-01-21 15:49,0,0,1,dnevnik,0,острова.,True,46,4.956521738999999,0,"['историк', 'по', 'образование', 'и', 'с', 'опит', 'в', 'сферата', 'на', 'сигурността', '-', 'това', 'е', 'новият', 'британски', 'посланик', 'в', 'софия', 'роб', 'диксън', '.', 'във', 'втората', 'част', 'на', 'интервюто', 'за', '``', 'дневник', ""''"", 'дипломатът', 'говори', 'за', 'бъдещите', 'отношения', 'между', 'лондон', 'и', 'софия', 'и', 'за', 'това', 'какво', 'да', 'очакват', 'българите', ',', 'живеещи', 'на', 'острова', '.']","['историк', 'по', 'образование', 'и', 'с', 'опит', 'в', 'сферата', 'на', 'сигурността', 'това', 'е', 'новият', 'британски', 'посланик', 'в', 'софия', 'роб', 'диксън', 'във', 'втората', 'част', 'на', 'интервюто', 'за', '', 'дневник', '', 'дипломатът', 'говори', 'за', 'бъдещите', 'отношения', 'между', 'лондон', 'и', 'софия', 'и', 'за', 'това', 'какво', 'да', 'очакват', 'българите', 'живеещи', 'на', 'острова']",20,6,0
"държавният департамент на сащ този месец е предупредил европейските компании, които подозира, че помагат за изграждането на руския газопровод ""северен поток-2"", за опасността от налагане на санкции.",13-01-21 15:29,8,0,1,dnevnik,0,санкции.,True,27,6.37037037,0,"['държавният', 'департамент', 'на', 'сащ', 'този', 'месец', 'е', 'предупредил', 'европейските', 'компании', ',', 'които', 'подозира', ',', 'че', 'помагат', 'за', 'изграждането', 'на', 'руския', 'газопровод', '``', 'северен', 'поток-2', ""''"", ',', 'за', 'опасността', 'от', 'налагане', 'на', 'санкции', '.']","['държавният', 'департамент', 'на', 'сащ', 'този', 'месец', 'е', 'предупредил', 'европейските', 'компании', 'които', 'подозира', 'че', 'помагат', 'за', 'изграждането', 'на', 'руския', 'газопровод', '', 'северен', 'поток2', '', 'за', 'опасността', 'от', 'налагане', 'на', 'санкции']",11,7,0
иван костов с остра критика към управляващите,13-01-21 15:27,257,21,41,dnevnik,0,управляващите,True,7,5.571428571,0,"['иван', 'костов', 'с', 'остра', 'критика', 'към', 'управляващите']","['иван', 'костов', 'с', 'остра', 'критика', 'към', 'управляващите']",2,0,0
промяната е предложена от герб и бе приета на първо и на второ четене.,13-01-21 15:02,6,2,3,dnevnik,0,четене.,True,14,4.071428571,0,"['промяната', 'е', 'предложена', 'от', 'герб', 'и', 'бе', 'приета', 'на', 'първо', 'и', 'на', 'второ', 'четене', '.']","['промяната', 'е', 'предложена', 'от', 'герб', 'и', 'бе', 'приета', 'на', 'първо', 'и', 'на', 'второ', 'четене']",8,1,0
"""епидемичната обстановка ще затрудни много силно предизборната кампания, особено на малките партии. те са пренебрегвани и сега и направо изолирани от медиите – там са управляващите и от време на време бсп"" – коментар на иван костов",13-01-21 15:00,9,0,3,dnevnik,0,костов,True,37,5.27027027,0,"['``', 'епидемичната', 'обстановка', 'ще', 'затрудни', 'много', 'силно', 'предизборната', 'кампания', ',', 'особено', 'на', 'малките', 'партии', '.', 'те', 'са', 'пренебрегвани', 'и', 'сега', 'и', 'направо', 'изолирани', 'от', 'медиите', '–', 'там', 'са', 'управляващите', 'и', 'от', 'време', 'на', 'време', 'бсп', ""''"", '–', 'коментар', 'на', 'иван', 'костов']","['', 'епидемичната', 'обстановка', 'ще', 'затрудни', 'много', 'силно', 'предизборната', 'кампания', 'особено', 'на', 'малките', 'партии', 'те', 'са', 'пренебрегвани', 'и', 'сега', 'и', 'направо', 'изолирани', 'от', 'медиите', '', 'там', 'са', 'управляващите', 'и', 'от', 'време', 'на', 'време', 'бсп', '', '', 'коментар', 'на', 'иван', 'костов']",18,4,0
"на живо: здравният министър костадин ангелов за първите дози от ваксината на ""модерна"".",13-01-21 14:25,26,2,46,dnevnik,0,"""модерна"".",True,13,5.769230769,0,"['на', 'живо', ':', 'здравният', 'министър', 'костадин', 'ангелов', 'за', 'първите', 'дози', 'от', 'ваксината', 'на', '``', 'модерна', ""''"", '.']","['на', 'живо', 'здравният', 'министър', 'костадин', 'ангелов', 'за', 'първите', 'дози', 'от', 'ваксината', 'на', '', 'модерна', '']",4,4,0
